age,nationality,current_residence,marital_status,dependents,education_level,occupation,work_experience_years,sponsorship_status,financial_status,language_proficiency,purpose_of_travel,intended_duration,travel_history,target_country,visa_category (Label),previous_visa_rejections,criminal_record_check,medical_exam_status,document_completeness_score,visa_fee_payment_status,processing_time_days
37.0,Italy,Uruguay,Single,2.0,Master,Nurse,33.0,Job Offer,Low,IELTS 6.5,Family,30,Previous Visa,US,Family,0,Clear,Passed,80,Paid,38
50.0,Greece,Argentina,Single,2.0,Master,Engineer,26.0,Job Offer,Medium,IELTS 6.5,Family,30,Clean,Australia,Family,0,Clear,Failed,95,Paid,42
63.0,New Zealand,Norway,Divorced,0.0,Bachelor,Developer,10.0,University Admission,Medium,Unknown,Work,730,Previous Visa,Australia,Work,0,Clear,Passed,78,Paid,78
33.0,South Africa,Ghana,Married,4.0,Bachelor,Chef,14.0,Job Offer,Low,TOEFL 115,Study,365,Clean,US,Student,0,Clear,Passed,73,Paid,65
64.0,Morocco,Pakistan,Married,4.0,Bachelor,Farmer,32.0,Job Offer,Medium,IELTS 8.5,Work,730,Clean,US,Work,1,Clear,Passed,80,Paid,86
62.0,South Africa,New Zealand,Married,5.0,PhD,Teacher,35.0,Job Offer,High,IELTS 8.0,Study,365,Previous Visa,Canada,Student,0,Minor Offense,Passed,78,Pending,73
42.0,Malaysia,Nepal,Divorced,5.0,Bachelor,Teacher,7.0,Job Offer,Low,TOEFL 108,Study,365,Rejected,Australia,Student,0,Clear,Passed,64,Pending,70
28.0,Portugal,Kenya,Single,2.0,Bachelor,Artist,36.0,University Admission,Medium,Unknown,PR,30,Clean,UK,PR,0,Clear,Passed,100,Paid,36
47.0,South Africa,South Korea,Single,3.0,Master,Developer,7.0,Job Offer,Medium,IELTS 6.0,Work,730,Clean,Canada,Work,0,Clear,Passed,75,Pending,78
22.0,Sweden,Finland,Married,0.0,Master,Nurse,25.0,Job Offer,High,TOEFL 81,PR,30,Clean,Germany,PR,0,Clear,Passed,63,Pending,43
43.0,Brazil,Canada,Married,5.0,Bachelor,Designer,32.0,Unknown,Low,IELTS 6.0,Tourism,30,Clean,Canada,Visitor,0,Clear,Passed,100,Paid,42
37.0,South Africa,Peru,Married,4.0,Bachelor,Driver,17.0,Job Offer,Medium,IELTS 5.0,Work,730,Clean,Canada,Work,1,Clear,Pending,66,Pending,79
37.0,Atlantis,UK,Widowed,4.0,PhD,Teacher,-3.0,Unknown,High,Unknown,PR,30,Rejected,UK,PR,1,Clear,Passed,78,Pending,51
52.0,Switzerland,Denmark,Married,4.0,High School,Technician,36.0,University Admission,Medium,TOEFL 89,Family,30,Clean,Germany,Family,0,Clear,Passed,90,Paid,46
35.0,Chile,Morocco,Single,4.0,High School,Doctor,19.0,Job Offer,Medium,IELTS 6.0,PR,30,Clean,US,PR,0,Clear,Passed,72,Paid,46
50.0,Chile,Portugal,Married,4.0,High School,Analyst,21.0,Job Offer,Medium,Unknown,Tourism,30,Clean,US,Visitor,1,Clear,Passed,75,Paid,60
49.0,Mexico,Paraguay,Single,3.0,High School,Engineer,9.0,University Admission,Medium,IELTS 8.0,Family,30,Clean,US,Family,0,Clear,Passed,82,Paid,42
20.0,Qatar,Mexico,Married,1.0,High School,Nurse,18.0,University Admission,Medium,IELTS 7.5,Study,365,Clean,Australia,Student,0,Clear,Passed,73,Paid,70
33.0,Sweden,Oman,Single,5.0,Bachelor,Designer,37.0,Job Offer,High,TOEFL 104,Study,365,Clean,Canada,Student,0,Clear,Passed,93,Paid,62
22.0,Chile,Brazil,Married,3.0,High School,Engineer,28.0,University Admission,Medium,TOEFL 99,Work,730,Previous Visa,US,Work,0,Clear,Failed,62,Paid,77
27.0,South Korea,Nepal,Married,0.0,High School,Developer,24.0,Family Sponsor,High,TOEFL 67,Study,365,Clean,UK,Student,1,Clear,Passed,87,Paid,72
29.0,South Korea,Peru,Married,3.0,Bachelor,Manager,34.0,University Admission,Low,TOEFL 106,Tourism,30,Clean,US,Visitor,0,Minor Offense,Passed,92,Paid,46
53.0,US,Ethiopia,Married,1.0,High School,Developer,20.0,Family Sponsor,High,TOEFL 72,Family,30,Clean,US,Family,0,Clear,Passed,80,Paid,43
26.0,Japan,South Africa,Single,4.0,Master,Engineer,5.0,Family Sponsor,Low,Unknown,Study,365,Previous Visa,UK,Student,1,Clear,Passed,60,Paid,79
24.0,Honduras,Denmark,Married,5.0,Bachelor,Engineer,3.0,Job Offer,High,TOEFL 61,Study,365,Previous Visa,Canada,Student,0,Clear,Passed,63,Paid,78
48.0,Spain,Canada,Single,3.0,High School,Student,18.0,Unknown,Medium,Unknown,Work,730,Clean,Australia,Work,0,Clear,Passed,96,Paid,76
62.0,Honduras,Sweden,Single,5.0,Bachelor,Artist,19.0,Family Sponsor,Medium,Unknown,Tourism,30,Previous Visa,US,Visitor,0,Clear,Passed,79,Pending,53
50.0,Saudi Arabia,Netherlands,Single,4.0,High School,Teacher,10.0,University Admission,High,IELTS 8.0,Study,365,Clean,Australia,Student,0,Clear,Pending,68,Waived,76
23.0,Sweden,Nepal,Single,3.0,Bachelor,Driver,14.0,University Admission,Low,TOEFL 115,Work,730,Previous Visa,Germany,Work,0,Clear,Passed,81,Paid,78
63.0,Ghana,Morocco,Married,0.0,Bachelor,Chef,38.0,Unknown,High,IELTS 7.0,Family,30,Rejected,Canada,Family,0,Clear,Passed,71,Paid,45
21.0,Turkey,Austria,Widowed,2.0,High School,Accountant,20.0,Unknown,Medium,IELTS -1.0,Tourism,30,Previous Visa,Germany,Visitor,3,Clear,Passed,69,Waived,71
58.0,Nigeria,Sri Lanka,Single,2.0,Master,Manager,1.0,University Admission,Medium,TOEFL 68,Study,365,Clean,US,Student,1,Clear,Passed,76,Paid,77
44.0,New Zealand,Malaysia,Married,0.0,High School,Chef,18.0,Family Sponsor,High,IELTS 7.5,Family,30,Previous Visa,Australia,Family,0,Clear,Pending,99,Paid,39
36.0,Portugal,Ghana,Married,2.0,High School,Doctor,19.0,Family Sponsor,High,TOEFL 92,Special,30,Clean,UK,Special,1,Clear,Passed,85,Paid,46
59.0,Belgium,UAE,Single,5.0,Master,Chef,18.0,University Admission,Medium,TOEFL 77,Study,365,Clean,US,Student,0,Clear,Passed,96,Paid,66
51.0,Portugal,Pakistan,Single,3.0,Master,Driver,17.0,Family Sponsor,Medium,IELTS 6.5,Work,730,Clean,Canada,Work,0,Clear,Passed,91,Paid,67
25.0,Philippines,New Zealand,Single,0.0,Bachelor,Artist,19.0,Family Sponsor,Medium,TOEFL 64,Work,730,Clean,Canada,Work,0,Clear,Passed,79,Paid,74
36.0,Brazil,Switzerland,Single,2.0,Master,Developer,16.0,University Admission,Medium,TOEFL 97,PR,30,Rejected,US,PR,0,Clear,Passed,93,Paid,38
42.0,Singapore,Paraguay,Single,1.0,Master,Driver,27.0,Unknown,Medium,IELTS 7.0,Work,730,Previous Visa,US,Work,0,Clear,Passed,75,Paid,74
35.0,Tunisia,Nepal,Single,3.0,High School,Sales,29.0,Job Offer,Medium,IELTS 7.5,Work,730,Clean,US,Work,0,Clear,Pending,100,Pending,70
53.0,Sweden,Japan,Married,0.0,Bachelor,Farmer,37.0,Unknown,Low,IELTS 6.0,Study,365,Previous Visa,US,Student,1,Clear,Passed,69,Paid,77
33.0,Ethiopia,Oman,Married,2.0,Bachelor,Artist,36.0,Unknown,Medium,TOEFL 86,Work,730,Previous Visa,US,Work,0,Clear,Failed,65,Paid,72
48.0,Qatar,Ireland,Married,1.0,High School,Engineer,12.0,University Admission,Low,Unknown,PR,30,Clean,US,PR,0,Clear,Passed,93,Paid,37
37.0,Tunisia,Germany,Single,5.0,Master,Developer,32.0,University Admission,Low,TOEFL 108,Work,730,Previous Visa,Canada,Work,0,Clear,Failed,98,Paid,71
47.0,Finland,Ethiopia,Single,1.0,High School,Nurse,39.0,University Admission,Medium,IELTS 5.0,Family,30,Clean,UK,Family,0,Clear,Pending,68,Paid,44
19.0,Argentina,Ethiopia,Single,0.0,PhD,Nurse,5.0,University Admission,Medium,TOEFL 85,Family,30,Clean,US,Family,0,Minor Offense,Passed,70,Paid,47
57.0,Greece,Honduras,Single,4.0,Bachelor,Farmer,20.0,Job Offer,Low,IELTS 6.0,Family,30,Clean,UK,Family,0,Clear,Passed,90,Pending,42
48.0,Ethiopia,Turkey,Divorced,5.0,Bachelor,Designer,6.0,University Admission,Medium,IELTS 5.5,Family,30,Clean,Australia,Family,0,Clear,Failed,75,Paid,44
24.0,Switzerland,Indonesia,Married,2.0,Bachelor,Farmer,29.0,Unknown,Medium,Unknown,Work,730,Clean,US,Work,0,Clear,Passed,62,Paid,78
38.0,Egypt,Qatar,Married,4.0,Master,Designer,32.0,Job Offer,Medium,Unknown,Work,730,Previous Visa,US,Work,0,Clear,Passed,84,Paid,71
28.0,Belgium,Spain,Married,5.0,High School,Analyst,18.0,Unknown,Medium,Unknown,Study,365,Clean,Australia,Student,3,Clear,Passed,86,Pending,90
29.0,Ethiopia,Portugal,Single,1.0,Bachelor,Designer,4.0,University Admission,Medium,TOEFL 83,Family,30,Previous Visa,US,Family,0,Clear,Failed,88,Paid,41
49.0,Guatemala,Chile,Single,5.0,Bachelor,Artist,25.0,University Admission,Low,IELTS 7.0,Study,365,Clean,Canada,Student,1,Clear,Passed,87,Paid,82
56.0,South Korea,Finland,Single,3.0,High School,Farmer,14.0,Unknown,Low,IELTS 8.5,Tourism,30,Rejected,Canada,Visitor,1,Clear,Passed,71,Pending,54
24.0,Saudi Arabia,Norway,Single,2.0,High School,Manager,24.0,University Admission,Medium,IELTS 8.0,Work,730,Clean,US,Work,0,Clear,Failed,93,Paid,70
62.0,Pakistan,Singapore,Married,1.0,Master,Farmer,9.0,Family Sponsor,Medium,TOEFL 96,Family,30,Previous Visa,Germany,Family,0,Clear,Passed,82,Paid,42
25.0,Kuwait,Honduras,Married,0.0,High School,Doctor,11.0,Unknown,High,IELTS 7.0,Family,30,Clean,US,Family,0,Clear,Passed,94,Paid,37
57.0,Qatar,Australia,Married,1.0,Bachelor,Designer,3.0,Job Offer,Medium,IELTS 5.5,Study,365,Previous Visa,US,Student,0,Clear,Passed,83,Paid,70
56.0,Spain,New Zealand,Single,0.0,High School,Analyst,29.0,Job Offer,High,IELTS 5.0,Study,365,Previous Visa,Australia,Student,0,Clear,Passed,96,Paid,64
52.0,Mexico,Nepal,Married,2.0,Bachelor,Farmer,32.0,Family Sponsor,High,IELTS 7.5,Work,730,Clean,US,Work,0,Clear,Failed,95,Paid,63
47.0,Saudi Arabia,Norway,Married,1.0,Master,Analyst,21.0,Job Offer,Low,TOEFL 82,Family,30,Previous Visa,US,Family,0,Clear,Passed,93,Paid,43
32.0,Sri Lanka,Belgium,Single,4.0,Master,Artist,17.0,Job Offer,Low,Unknown,Study,365,Clean,UK,Student,0,Clear,Passed,60,Paid,71
56.0,Finland,Turkey,Single,4.0,Bachelor,Farmer,22.0,Family Sponsor,Medium,TOEFL 95,Work,730,Clean,US,Work,0,Clear,Passed,70,Paid,75
65.0,Finland,Paraguay,Single,2.0,Master,Farmer,8.0,Family Sponsor,Low,IELTS 7.5,Family,30,Clean,Australia,Family,2,Clear,Pending,90,Paid,58
43.0,Italy,Switzerland,Single,2.0,Bachelor,Teacher,14.0,Unknown,Medium,TOEFL 112,Work,730,Clean,US,Work,0,Clear,Passed,67,Paid,75
53.0,Qatar,Kuwait,Single,1.0,PhD,Accountant,18.0,University Admission,Low,IELTS 7.0,Work,730,Clean,Canada,Work,0,Clear,Passed,71,Waived,74
53.0,Malaysia,Finland,Single,2.0,Bachelor,Nurse,15.0,Family Sponsor,Medium,IELTS 7.0,Study,365,Clean,Canada,Student,1,Clear,Failed,92,Paid,80
55.0,India,Poland,Married,5.0,Bachelor,Nurse,3.0,Family Sponsor,Medium,TOEFL 71,Tourism,30,Clean,Canada,Visitor,1,Clear,Passed,68,Paid,51
42.0,Bangladesh,Kenya,Widowed,2.0,PhD,Driver,-3.0,Unknown,Medium,Unknown,Family,30,Previous Visa,Australia,Family,0,Clear,Passed,75,Paid,41
20.0,US,Egypt,Married,0.0,PhD,Analyst,25.0,University Admission,Medium,TOEFL 114,Study,365,Clean,Australia,Student,0,Clear,Passed,82,Paid,65
36.0,France,South Korea,Single,2.0,High School,Accountant,3.0,Job Offer,High,Unknown,Work,730,Clean,US,Work,0,Clear,Passed,66,Paid,82
47.0,Unknown,Oman,Divorced,-1.0,PhD,Farmer,35.0,Unknown,High,IELTS 6.5,PR,30,Rejected,US,Unknown,0,Clear,Passed,97,Paid,38
64.0,Ethiopia,Argentina,Single,3.0,Bachelor,Sales,21.0,Job Offer,High,TOEFL 61,Work,730,Clean,UK,Work,0,Clear,Passed,100,Paid,70
22.0,South Korea,Philippines,Married,1.0,Master,Manager,32.0,Unknown,Medium,TOEFL 112,Work,730,Previous Visa,UK,Work,0,Clear,Passed,93,Paid,69
20.0,Canada,Morocco,Married,0.0,Master,Teacher,35.0,Job Offer,High,TOEFL 115,Study,365,Clean,Canada,Student,0,Clear,Passed,83,Paid,70
54.0,Nepal,Singapore,Single,2.0,Bachelor,Engineer,7.0,Family Sponsor,Medium,Unknown,Tourism,30,Previous Visa,UK,Visitor,2,Clear,Passed,66,Paid,65
36.0,Philippines,Mexico,Married,3.0,High School,Technician,14.0,Job Offer,Low,IELTS 5.0,Family,30,Previous Visa,US,Family,0,Clear,Passed,73,Paid,46
36.0,Poland,China,Married,1.0,High School,Developer,31.0,Unknown,Medium,TOEFL 70,PR,30,Clean,Germany,PR,0,Clear,Passed,64,Paid,51
48.0,Uruguay,Oman,Married,1.0,Master,Technician,19.0,Job Offer,Medium,TOEFL 62,Tourism,30,Clean,US,Visitor,3,Clear,Passed,73,Paid,72
29.0,Denmark,Bangladesh,Single,1.0,Master,Teacher,20.0,Job Offer,Medium,TOEFL 62,Study,365,Previous Visa,UK,Student,0,Clear,Passed,93,Paid,64
42.0,Philippines,Malaysia,Married,4.0,High School,Accountant,20.0,University Admission,High,TOEFL 72,Tourism,30,Rejected,UK,Visitor,0,Clear,Passed,69,Paid,52
65.0,India,Unknown,Married,2.0,Bachelor,Chef,-3.0,Job Offer,Medium,TOEFL 82,PR,30,Previous Visa,Canada,PR,0,Clear,Passed,82,Paid,50
50.0,Venezuela,Argentina,Married,3.0,PhD,Technician,-3.0,University Admission,High,TOEFL 100,Family,30,Clean,US,Family,2,Minor Offense,Passed,94,Paid,56
55.0,Norway,Qatar,Married,5.0,Master,Nurse,23.0,University Admission,Medium,TOEFL 61,Family,30,Rejected,US,Family,0,Clear,Passed,64,Paid,47
30.0,Kenya,Guatemala,Married,3.0,High School,Accountant,8.0,Family Sponsor,High,IELTS 6.5,Special,30,Clean,US,Special,0,Minor Offense,Pending,100,Paid,35
24.0,Pakistan,Oman,Widowed,3.0,Bachelor,Driver,4.0,University Admission,Medium,IELTS 8.0,Tourism,30,Clean,UK,Visitor,1,Pending,Pending,66,Paid,60
45.0,South Korea,China,Single,3.0,High School,Engineer,35.0,Family Sponsor,Medium,Unknown,Study,365,Clean,UK,Student,0,Clear,Passed,85,Paid,70
23.0,Philippines,Paraguay,Single,2.0,Bachelor,Student,8.0,Job Offer,Medium,IELTS 7.0,Study,365,Rejected,US,Student,1,Clear,Pending,60,Paid,80
55.0,Sri Lanka,Nepal,Married,3.0,Bachelor,Technician,27.0,University Admission,Low,TOEFL 91,Family,30,Rejected,Canada,Family,3,Clear,Passed,93,Paid,62
29.0,Ireland,Oman,Married,5.0,Bachelor,Chef,15.0,University Admission,High,IELTS 7.0,Work,730,Clean,Germany,Work,0,Clear,Passed,90,Paid,80
20.0,Finland,Portugal,Single,3.0,High School,Student,35.0,Job Offer,Medium,TOEFL 83,Work,730,Previous Visa,Canada,Work,0,Clear,Passed,79,Pending,76
36.0,Australia,Switzerland,Married,1.0,High School,Manager,5.0,University Admission,Low,TOEFL 67,Special,30,Clean,Canada,Special,1,Clear,Passed,63,Paid,58
41.0,Poland,South Africa,Single,0.0,Bachelor,Driver,15.0,University Admission,Medium,TOEFL 98,Work,730,Clean,UK,Work,0,Clear,Passed,84,Paid,73
48.0,Australia,Austria,Married,0.0,Bachelor,Nurse,28.0,Unknown,Medium,TOEFL 91,Tourism,30,Clean,US,Visitor,1,Clear,Passed,90,Pending,53
35.0,Venezuela,Australia,Single,5.0,Master,Analyst,28.0,Unknown,Low,TOEFL 103,Work,730,Clean,Australia,Work,0,Minor Offense,Passed,75,Paid,76
53.0,Indonesia,Qatar,Single,3.0,Bachelor,Student,2.0,Unknown,Medium,IELTS 6.0,Work,730,Clean,UK,Work,0,Clear,Failed,92,Paid,71
36.0,Poland,Bangladesh,Married,0.0,Bachelor,Accountant,15.0,University Admission,Medium,IELTS 6.0,Work,730,Clean,US,Work,0,Clear,Passed,93,Paid,71
43.0,Indonesia,Norway,Married,4.0,PhD,Nurse,20.0,University Admission,High,IELTS 5.5,Tourism,30,Previous Visa,US,Visitor,0,Clear,Failed,67,Paid,52
49.0,Austria,Argentina,Married,5.0,High School,Driver,2.0,Job Offer,Low,IELTS 7.5,Family,30,Previous Visa,US,Family,0,Clear,Passed,69,Pending,44
44.0,Switzerland,Netherlands,Single,2.0,Master,Designer,9.0,University Admission,Medium,IELTS 6.5,Work,730,Clean,Australia,Work,0,Clear,Passed,94,Pending,71
57.0,Uruguay,Turkey,Widowed,0.0,High School,Artist,25.0,University Admission,Low,Unknown,Study,365,Previous Visa,Canada,Student,0,Clear,Failed,66,Paid,72
31.0,South Korea,Indonesia,Married,0.0,Master,Developer,30.0,University Admission,Low,TOEFL 77,Family,30,Clean,US,Family,0,Clear,Passed,77,Paid,47
20.0,Switzerland,Egypt,Married,5.0,Bachelor,Analyst,0.0,Family Sponsor,High,IELTS 6.5,Work,730,Clean,Germany,Work,1,Clear,Passed,90,Paid,77
62.0,Honduras,Algeria,Single,3.0,High School,Doctor,11.0,Family Sponsor,Medium,TOEFL 108,Work,730,Clean,Canada,Work,1,Clear,Pending,81,Pending,74
65.0,Unknown,China,Divorced,0.0,Master,Sales,2.0,Unknown,Medium,Unknown,PR,30,Previous Visa,Australia,PR,0,Clear,Passed,69,Paid,45
44.0,Qatar,Bangladesh,Married,0.0,Bachelor,Artist,34.0,University Admission,Medium,Unknown,Work,730,Previous Visa,US,Work,0,Clear,Passed,61,Paid,78
39.0,Belgium,Argentina,Single,3.0,Master,Nurse,2.0,Job Offer,Low,TOEFL 69,Study,365,Clean,US,Student,0,Clear,Passed,75,Paid,72
41.0,India,Egypt,Married,4.0,Master,Chef,12.0,Job Offer,Medium,TOEFL 84,Work,730,Clean,US,Work,0,Clear,Passed,72,Paid,73
34.0,Pakistan,Mexico,Single,3.0,Master,Teacher,17.0,Unknown,Medium,IELTS 7.5,Special,30,Clean,Australia,Special,0,Clear,Passed,95,Paid,42
55.0,Colombia,Brazil,Married,2.0,Bachelor,Sales,12.0,Unknown,Medium,IELTS 6.5,Work,730,Clean,Australia,Work,1,Clear,Passed,66,Paid,87
35.0,India,Sweden,Divorced,3.0,Master,Analyst,12.0,University Admission,High,TOEFL 111,Tourism,30,Clean,US,Visitor,0,Minor Offense,Passed,78,Paid,51
37.0,Philippines,Morocco,Single,2.0,Bachelor,Manager,30.0,University Admission,Medium,Unknown,Work,730,Clean,UK,Work,1,Clear,Pending,76,Paid,79
31.0,Qatar,Sweden,Married,2.0,PhD,Accountant,2.0,Job Offer,Medium,TOEFL 86,Special,30,Previous Visa,Canada,Special,1,Clear,Passed,91,Paid,46
47.0,Norway,Switzerland,Single,2.0,Master,Chef,11.0,University Admission,Medium,IELTS 6.0,Tourism,30,Clean,US,Visitor,0,Clear,Pending,86,Waived,49
19.0,Atlantis,Canada,Divorced,3.0,Master,Doctor,0.0,Job Offer,Low,IELTS 6.5,Special,30,Clean,US,Special,0,Clear,Passed,67,Paid,51
63.0,South Africa,UK,Married,1.0,High School,Teacher,23.0,Family Sponsor,Medium,Unknown,Family,30,Previous Visa,Australia,Family,0,Clear,Passed,60,Paid,48
31.0,Brazil,Switzerland,Single,1.0,High School,Manager,13.0,University Admission,Medium,IELTS 7.5,Study,365,Clean,US,Student,0,Clear,Passed,86,Paid,67
42.0,Germany,Ghana,Single,3.0,High School,Analyst,21.0,University Admission,Medium,TOEFL 60,Work,730,Clean,US,Work,0,Clear,Passed,75,Pending,70
60.0,Austria,US,Married,1.0,Bachelor,Teacher,0.0,Unknown,Medium,TOEFL 114,Study,365,Clean,Canada,Student,0,Clear,Passed,81,Paid,67
62.0,Indonesia,Netherlands,Single,1.0,Master,Analyst,10.0,Job Offer,Medium,IELTS 8.5,Work,730,Clean,Canada,Work,0,Clear,Passed,95,Waived,68
60.0,Egypt,Honduras,Married,0.0,High School,Student,18.0,Unknown,High,TOEFL 78,Tourism,30,Clean,Australia,Visitor,0,Clear,Passed,79,Paid,49
25.0,Kuwait,Guatemala,Single,2.0,Bachelor,Chef,3.0,University Admission,High,IELTS 6.5,Work,730,Previous Visa,UK,Work,0,Clear,Passed,77,Paid,70
62.0,Poland,Austria,Married,5.0,High School,Technician,28.0,Family Sponsor,Medium,IELTS 8.0,Work,730,Clean,US,Work,0,Clear,Passed,67,Paid,75
54.0,New Zealand,Guatemala,Married,3.0,Master,Teacher,11.0,Family Sponsor,High,IELTS 6.0,Study,365,Clean,Germany,Student,0,Clear,Passed,98,Paid,62
30.0,Spain,Uruguay,Single,4.0,High School,Analyst,39.0,Job Offer,Medium,Unknown,Tourism,30,Previous Visa,Germany,Visitor,0,Clear,Passed,63,Paid,55
47.0,Brazil,Kenya,Single,0.0,High School,Artist,22.0,Unknown,Medium,IELTS 5.0,Study,365,Previous Visa,Germany,Student,0,Clear,Passed,78,Paid,66
47.0,Pakistan,Kuwait,Single,4.0,High School,Technician,12.0,Family Sponsor,Medium,IELTS 7.5,PR,30,Clean,US,PR,1,Minor Offense,Passed,69,Paid,51
64.0,Philippines,Saudi Arabia,Married,2.0,Bachelor,Accountant,39.0,Job Offer,Medium,TOEFL 89,Special,30,Clean,UK,Special,1,Clear,Passed,94,Paid,49
40.0,UK,New Zealand,Single,4.0,Bachelor,Teacher,22.0,Unknown,Medium,TOEFL 66,Tourism,30,Previous Visa,Canada,Visitor,0,Clear,Passed,69,Paid,49
64.0,New Zealand,Switzerland,Widowed,4.0,Bachelor,Student,16.0,University Admission,High,IELTS 6.5,Work,730,Clean,US,Work,0,Clear,Passed,85,Paid,80
47.0,Italy,Sweden,Single,4.0,Bachelor,Driver,15.0,Job Offer,Medium,Unknown,Work,730,Previous Visa,UK,Work,1,Clear,Passed,69,Paid,85
48.0,Nepal,Egypt,Married,4.0,Bachelor,Artist,5.0,Job Offer,Medium,Unknown,Study,365,Rejected,US,Student,0,Clear,Passed,60,Paid,73
52.0,Thailand,Sri Lanka,Single,2.0,Bachelor,Technician,3.0,Job Offer,High,Unknown,Family,30,Previous Visa,UK,Family,0,Clear,Passed,87,Paid,43
63.0,Argentina,Uruguay,Married,1.0,Bachelor,Farmer,40.0,University Admission,Medium,TOEFL 113,Family,30,Previous Visa,UK,Family,1,Clear,Passed,70,Paid,45
30.0,Greece,Morocco,Married,1.0,Master,Farmer,26.0,Family Sponsor,Medium,TOEFL 76,Study,365,Clean,Canada,Student,0,Clear,Pending,85,Pending,71
43.0,Argentina,Germany,Single,0.0,Bachelor,Artist,7.0,University Admission,Low,TOEFL 88,Work,730,Clean,Germany,Work,0,Clear,Passed,80,Paid,75
63.0,Ghana,Germany,Single,3.0,High School,Designer,21.0,Job Offer,Low,IELTS 8.5,Tourism,30,Clean,US,Visitor,3,Clear,Passed,73,Pending,71
54.0,New Zealand,France,Married,2.0,Master,Nurse,26.0,Job Offer,Medium,IELTS 5.0,Study,365,Clean,Canada,Student,0,Clear,Failed,87,Paid,69
27.0,Qatar,Austria,Single,0.0,Master,Doctor,1.0,University Admission,Low,Unknown,Family,30,Clean,Germany,Family,2,Clear,Passed,98,Pending,56
40.0,Greece,Chile,Married,3.0,Master,Chef,0.0,Family Sponsor,Medium,Unknown,Study,365,Clean,Canada,Student,0,Clear,Pending,81,Paid,67
55.0,Turkey,Philippines,Married,4.0,High School,Teacher,10.0,Job Offer,Low,IELTS 6.5,Family,30,Clean,US,Family,0,Clear,Passed,72,Paid,46
33.0,US,Brazil,Single,0.0,Bachelor,Farmer,18.0,Job Offer,Medium,TOEFL 112,Study,365,Previous Visa,UK,Student,0,Clear,Passed,93,Paid,69
57.0,Sweden,Ghana,Single,2.0,Bachelor,Manager,21.0,Family Sponsor,Medium,TOEFL 93,Work,730,Clean,US,Work,1,Clear,Passed,66,Paid,85
22.0,Australia,Spain,Married,5.0,Master,Sales,29.0,University Admission,Medium,TOEFL 93,Tourism,30,Clean,Canada,Visitor,0,Clear,Passed,63,Paid,51
38.0,Mexico,Canada,Single,1.0,Master,Accountant,22.0,Unknown,Low,IELTS 8.0,Tourism,30,Clean,Australia,Visitor,0,Clear,Passed,88,Paid,48
53.0,Sri Lanka,Germany,Married,5.0,Master,Manager,4.0,University Admission,Medium,TOEFL 93,Family,30,Clean,UK,Family,1,Minor Offense,Passed,71,Paid,56
51.0,Saudi Arabia,Pakistan,Widowed,4.0,High School,Artist,12.0,Job Offer,Medium,TOEFL 83,Work,730,Clean,US,Work,0,Clear,Passed,71,Paid,78
18.0,Norway,Uruguay,Single,2.0,High School,Farmer,17.0,Family Sponsor,High,IELTS 5.0,Study,365,Clean,Germany,Student,0,Minor Offense,Passed,89,Waived,63
31.0,UK,Denmark,Married,3.0,High School,Doctor,3.0,Job Offer,Low,IELTS 5.0,Work,730,Clean,Australia,Work,0,Clear,Passed,94,Paid,72
32.0,Mexico,Venezuela,Single,2.0,High School,Farmer,14.0,University Admission,Medium,TOEFL 105,Family,30,Clean,UK,Family,0,Clear,Passed,86,Paid,44
30.0,Venezuela,Thailand,Married,2.0,High School,Chef,3.0,Job Offer,Medium,Unknown,Study,365,Clean,Australia,Student,1,Minor Offense,Passed,77,Paid,80
42.0,Algeria,Greece,Widowed,2.0,PhD,Artist,21.0,Unknown,High,IELTS 8.0,Work,730,Previous Visa,Australia,Unknown,0,Clear,Pending,61,Paid,77
30.0,Netherlands,Portugal,Married,3.0,Bachelor,Manager,15.0,University Admission,Medium,TOEFL 105,Study,365,Previous Visa,US,Student,0,Clear,Passed,91,Paid,65
58.0,UK,Netherlands,Single,2.0,Master,Accountant,16.0,Unknown,Low,TOEFL 108,Tourism,30,Clean,Australia,Visitor,0,Minor Offense,Passed,61,Paid,48
39.0,France,Morocco,Married,2.0,Bachelor,Designer,29.0,University Admission,High,IELTS 7.0,Work,730,Clean,UK,Work,0,Minor Offense,Passed,81,Paid,71
40.0,Austria,Turkey,Single,0.0,High School,Technician,2.0,Job Offer,High,Unknown,Family,30,Clean,Canada,Family,0,Clear,Passed,92,Paid,45
23.0,Portugal,UAE,Single,4.0,Bachelor,Designer,10.0,Family Sponsor,Low,IELTS 8.5,Special,30,Clean,Australia,Special,0,Clear,Passed,87,Paid,43
54.0,Argentina,Finland,Married,1.0,High School,Doctor,1.0,Family Sponsor,Medium,TOEFL 66,Tourism,30,Clean,Canada,Visitor,3,Minor Offense,Passed,64,Paid,72
57.0,Pakistan,Sweden,Married,1.0,Bachelor,Designer,30.0,Job Offer,Medium,Unknown,PR,30,Previous Visa,US,PR,1,Clear,Passed,66,Paid,57
45.0,Brazil,India,Married,4.0,Master,Accountant,3.0,Unknown,Medium,IELTS 6.5,Work,730,Previous Visa,Australia,Work,0,Clear,Pending,77,Paid,77
52.0,Uruguay,Ireland,Single,1.0,Bachelor,Driver,37.0,Family Sponsor,Low,TOEFL 89,Tourism,30,Clean,UK,Visitor,0,Clear,Passed,78,Paid,47
