applicant_id,age,nationality,current_residence,marital_status,dependents,education_level,occupation,work_experience_years,sponsorship_status,financial_status,language_proficiency,purpose_of_travel,intended_duration,travel_history,target_country,visa_category (Label),previous_visa_rejections,criminal_record_check,medical_exam_status,document_completeness_score,visa_fee_payment_status
C76702,57,Kenya,Canada,Single,0,High School,Engineer,2,None,High,IELTS 5.0,Work,Short-term,Clean,Canada,Work,2,Clear,Passed,77,Waived
C03566,64,UAE,Egypt,Married,5,High School,Analyst,18,Job Offer,Medium,TOEFL 100,Tourism,Long-term,Clean,Australia,Visitor,2,Clear,Passed,82,Paid
C87550,42,Algeria,Kenya,Divorced,0,High School,Sales,1,None,High,TOEFL 80,Tourism,Long-term,Clean,Canada,Visitor,2,Clear,Passed,92,Paid
C24482,58,Pakistan,Canada,Married,2,Bachelor,Doctor,9,None,High,IELTS 8.5,Tourism,Long-term,Clean,UK,Visitor,1,Clear,Passed,94,Paid
A05756,26,Algeria,Atlantis,Single,3,PhD,Technician,17,University Admission,Low,TOEFL 77,PR,Long-term,Previous Visa,Germany,PR,0,Clear,Passed,87,Paid
C101673,29,Qatar,Japan,Married,3,High School,Developer,4,Job Offer,Low,None,Work,Short-term,Clean,Germany,Work,0,Clear,Passed,96,Waived
C103182,24,Argentina,South Korea,Single,3,Master,Driver,32,Family Sponsor,Medium,IELTS 6.0,Work,Long-term,Previous Visa,Canada,Work,0,Clear,Passed,72,Paid
C105359,54,Sri Lanka,Canada,Widowed,2,Bachelor,Artist,22,Job Offer,Low,TOEFL 61,Work,Short-term,Previous Visa,UK,Work,0,Clear,Passed,80,Paid
C39113,48,Greece,UAE,Married,4,High School,Designer,25,Family Sponsor,Low,IELTS 5.5,Work,Long-term,Clean,Canada,Work,1,Clear,Passed,68,Pending
C35759,20,Peru,Algeria,Single,1,High School,Artist,26,None,Low,TOEFL 112,Family,Short-term,Clean,Canada,Family,3,Clear,Passed,60,Waived
C07041,35,Greece,Malaysia,Married,4,High School,Farmer,9,Job Offer,Low,TOEFL 114,Study,Long-term,Clean,Germany,Student,0,Clear,Passed,84,Paid
C88209,55,Italy,Netherlands,Single,2,Bachelor,Chef,26,Family Sponsor,High,TOEFL 71,Tourism,Long-term,Clean,Canada,Visitor,0,Clear,Passed,100,Paid
C91118,42,Indonesia,UAE,Single,3,High School,Manager,30,Job Offer,Medium,IELTS 8.0,Work,Long-term,Clean,UK,Work,0,Clear,Passed,79,Paid
C93258,26,Egypt,Singapore,Single,0,Bachelor,Accountant,27,University Admission,Low,IELTS 8.0,Work,Short-term,Clean,US,Work,0,Clear,Passed,100,Paid
C13371,51,Oman,South Korea,Widowed,0,High School,Manager,35,Job Offer,Low,TOEFL 97,Work,Long-term,Clean,US,Work,0,Clear,Pending,69,Paid
C82847,48,Ghana,Germany,Married,0,High School,Sales,9,Job Offer,Low,IELTS 5.5,Work,Short-term,Clean,UK,Work,0,Clear,Pending,93,Paid
C41138,65,Uruguay,Italy,Married,0,Bachelor,Artist,28,None,Medium,IELTS 7.5,Study,Long-term,Clean,UK,Student,1,Clear,Passed,67,Paid
C30878,62,US,Venezuela,Single,2,High School,Artist,21,Job Offer,Low,IELTS 6.5,Tourism,Short-term,Clean,US,Visitor,0,Clear,Passed,71,Paid
C73939,57,Nigeria,Poland,Divorced,1,High School,Farmer,25,Job Offer,Medium,TOEFL 110,Work,Short-term,Previous Visa,Germany,Work,2,Clear,Passed,84,Paid
C09601,63,Peru,Denmark,Single,4,Bachelor,Sales,25,Job Offer,Medium,TOEFL 94,Special,Short-term,Clean,Australia,Special,0,Clear,Failed,88,Pending
C18597,62,Australia,UAE,Single,1,Master,Engineer,9,Job Offer,Medium,None,Tourism,Long-term,Previous Visa,Canada,Visitor,1,Clear,Passed,89,Paid
C70254,22,Germany,Thailand,Single,5,Bachelor,Sales,17,University Admission,High,None,Tourism,Long-term,Clean,US,Visitor,0,Clear,Passed,94,Paid
C106413,35,Sri Lanka,Turkey,Married,0,Bachelor,Manager,8,Family Sponsor,Low,IELTS 6.5,Tourism,Long-term,Clean,US,Visitor,1,Pending,Passed,62,Pending
A09645,37,,Guatemala,Divorced,2,Bachelor,Artist,30,Family Sponsor,Low,TOEFL 97,Family,Permanent,Rejected,Germany,Family,0,Clear,Passed,99,Paid
C88981,35,Nigeria,Peru,Married,1,High School,Accountant,35,Job Offer,High,IELTS 6.5,Work,Long-term,Previous Visa,Australia,Work,0,Clear,Pending,66,Paid
C105673,41,Bangladesh,India,Married,4,Master,Engineer,10,None,Medium,IELTS 8.5,Tourism,Long-term,Clean,Canada,Visitor,0,Clear,Passed,61,Paid
C88559,31,Tunisia,Italy,Married,4,Bachelor,Designer,8,University Admission,Low,TOEFL 105,Study,Long-term,Clean,Australia,Student,2,Clear,Passed,75,Paid
C54015,51,France,Kuwait,Married,2,High School,Manager,15,University Admission,Medium,IELTS 6.5,Work,Short-term,Clean,UK,Work,0,Clear,Passed,88,Paid
A07926,120,Ghana,Sri Lanka,Married,,High School,Sales,37,Job Offer,Medium,IELTS 8.0,Study,Long-term,Previous Visa,Canada,,0,Clear,Pending,76,Paid
A02462,19,Uruguay,Poland,Married,3,PhD,Chef,31,Job Offer,Medium,IELTS -1.0,Study,Permanent,Clean,Canada,Student,0,Clear,Passed,79,Paid
C85620,56,Sri Lanka,Spain,Married,4,High School,Developer,4,None,Medium,IELTS 5.5,PR,Permanent,Clean,UK,PR,0,Clear,Passed,71,Paid
C19109,24,Chile,Japan,Married,1,High School,Developer,9,Job Offer,Medium,TOEFL 92,Study,Short-term,Clean,UK,Student,1,Clear,Passed,64,Paid
C100338,36,Guatemala,South Korea,Single,5,Bachelor,Developer,33,None,Medium,None,PR,Permanent,Clean,UK,PR,0,Minor Offense,Pending,66,Paid
C96523,30,Philippines,China,Single,2,High School,Teacher,16,Job Offer,Medium,TOEFL 98,Work,Short-term,Clean,US,Work,0,Clear,Pending,76,Pending
C79864,38,Denmark,UAE,Single,5,High School,Artist,25,Job Offer,Medium,TOEFL 115,Work,Short-term,Previous Visa,Australia,Work,3,Clear,Failed,98,Paid
C60609,27,Saudi Arabia,US,Single,0,High School,Artist,31,University Admission,Medium,TOEFL 112,Study,Short-term,Clean,UK,Student,1,Clear,Passed,92,Paid
C80655,52,UK,Switzerland,Single,4,Bachelor,Designer,14,University Admission,Low,None,Work,Long-term,Clean,Australia,Work,1,Clear,Pending,89,Paid
A06036,37,UK,Canada,Widowed,0,High School,Student,17,Job Offer,Medium,TOEFL 61,Family,Short-term,Rejected,Australia,,0,Clear,Passed,63,Paid
C15200,56,Netherlands,Guatemala,Single,2,High School,Student,36,Job Offer,Low,TOEFL 81,Work,Short-term,Clean,Canada,Work,0,Clear,Pending,63,Paid
C68943,52,Ghana,Ghana,Married,3,Bachelor,Manager,19,Family Sponsor,Medium,TOEFL 98,Family,Short-term,Clean,Germany,Family,0,Clear,Pending,97,Pending
C97188,27,Bangladesh,Saudi Arabia,Single,0,Bachelor,Artist,35,Job Offer,Medium,TOEFL 82,Study,Short-term,Previous Visa,Germany,Student,1,Clear,Passed,61,Paid
C75996,38,Norway,South Korea,Single,1,High School,Developer,27,Family Sponsor,Medium,TOEFL 111,Tourism,Long-term,Previous Visa,US,Visitor,0,Clear,Passed,99,Paid
C28154,64,New Zealand,Mexico,Married,3,Bachelor,Chef,26,University Admission,Low,None,Work,Long-term,Clean,US,Work,0,Clear,Passed,86,Paid
C00356,48,France,Finland,Single,2,Bachelor,Artist,18,Family Sponsor,Medium,TOEFL 91,Tourism,Long-term,Previous Visa,US,Visitor,0,Clear,Passed,96,Paid
C05094,21,Australia,Canada,Single,3,Bachelor,Developer,34,None,Low,TOEFL 87,Study,Short-term,Clean,Germany,Student,0,Clear,Passed,85,Paid
C30392,53,Turkey,Tunisia,Married,2,High School,Accountant,35,University Admission,Medium,TOEFL 78,Family,Short-term,Clean,US,Family,1,Clear,Passed,83,Paid
C49276,52,Honduras,France,Single,5,High School,Analyst,23,University Admission,Medium,None,Work,Short-term,Previous Visa,Australia,Work,0,Clear,Passed,94,Paid
A02569,39,,Germany,Widowed,3,Master,Technician,41 years,University Admission,Medium,TOEFL 102,Work,Permanent,Clean,UK,Work,0,Clear,Passed,81,Paid
C69290,43,New Zealand,Canada,Divorced,0,Bachelor,Farmer,27,University Admission,High,TOEFL 60,Study,Short-term,Clean,Australia,Student,2,Clear,Pending,80,Paid
C22393,57,Indonesia,Ireland,Married,1,Master,Engineer,18,Family Sponsor,High,TOEFL 67,Special,Long-term,Clean,UK,Special,0,Clear,Passed,82,Pending
C03355,29,Paraguay,Kuwait,Married,4,Bachelor,Nurse,38,Family Sponsor,Medium,IELTS 5.0,Study,Short-term,Clean,US,Student,0,Clear,Passed,60,Paid
C41370,38,Ireland,Tunisia,Married,5,Bachelor,Engineer,11,Family Sponsor,High,None,Family,Short-term,Clean,Canada,Family,2,Clear,Passed,76,Paid
A04571,55,Peru,Thailand,Single,two,Bachelor,Developer,40,University Admission,Medium,None,Study,Short-term,Rejected,US,Visitorrr,2,Clear,Passed,96,Paid
C29562,47,Portugal,South Africa,Married,1,Bachelor,Teacher,20,Family Sponsor,Medium,IELTS 6.0,Work,Short-term,Clean,US,Work,0,Clear,Passed,96,Paid
C78963,35,Denmark,Venezuela,Divorced,3,High School,Farmer,10,University Admission,Medium,TOEFL 98,Study,Long-term,Clean,Canada,Student,0,Clear,Failed,76,Paid
C50162,23,Peru,Denmark,Single,4,Master,Sales,40,None,High,IELTS 8.0,Tourism,Long-term,Previous Visa,Canada,Visitor,0,Clear,Passed,90,Paid
C13122,64,Ghana,New Zealand,Single,3,Bachelor,Accountant,32,Family Sponsor,Medium,TOEFL 101,Work,Short-term,Clean,Canada,Work,1,Clear,Passed,96,Paid
C19067,50,Kuwait,Indonesia,Married,2,Master,Analyst,19,Job Offer,Medium,IELTS 7.0,Tourism,Short-term,Clean,US,Visitor,1,Clear,Passed,89,Paid
C25536,23,Colombia,Peru,Single,2,High School,Manager,4,Job Offer,Medium,None,Family,Long-term,Clean,Canada,Family,0,Minor Offense,Passed,65,Paid
C102988,35,China,Indonesia,Married,2,Bachelor,Driver,20,University Admission,Medium,TOEFL 72,Study,Long-term,Previous Visa,US,Student,0,Clear,Passed,88,Paid
C20833,49,Oman,Chile,Married,0,High School,Technician,20,University Admission,Medium,IELTS 8.5,Study,Long-term,Clean,Australia,Student,0,Minor Offense,Passed,82,Paid
C17438,34,US,Japan,Single,1,Bachelor,Sales,30,Family Sponsor,Medium,None,Family,Short-term,Previous Visa,US,Family,0,Clear,Passed,68,Paid
C56475,36,Malaysia,Ireland,Married,0,Master,Accountant,30,Family Sponsor,Medium,IELTS 5.0,Study,Long-term,Clean,US,Student,0,Clear,Passed,90,Paid
A04245,-5,Algeria,Venezuela,Widowed,5,Master,Designer,unknown,University Admission,Low,None,Family,Permanent,Clean,US,Family,1,Clear,Failed,71,Paid
C23112,47,South Africa,Qatar,Single,1,Bachelor,Analyst,30,University Admission,Low,IELTS 7.0,Tourism,Short-term,Previous Visa,US,Visitor,0,Clear,Passed,70,Pending
C93928,31,Kenya,South Africa,Single,2,High School,Artist,24,University Admission,High,IELTS 7.0,Family,Short-term,Clean,UK,Family,0,Clear,Passed,96,Paid
C70318,58,India,Honduras,Married,0,Bachelor,Nurse,16,None,Medium,IELTS 5.0,Work,Long-term,Previous Visa,Germany,Work,0,Clear,Passed,99,Paid
C12996,55,China,Norway,Married,0,PhD,Accountant,11,Family Sponsor,High,TOEFL 94,Study,Long-term,Rejected,Australia,Student,0,Minor Offense,Passed,81,Paid
C31895,58,Sweden,Morocco,Married,5,High School,Analyst,40,University Admission,Low,IELTS 6.5,Family,Long-term,Clean,Germany,Family,0,Clear,Pending,82,Paid
C58423,21,Venezuela,Australia,Single,0,High School,Sales,10,University Admission,High,None,Tourism,Long-term,Clean,US,Visitor,0,Minor Offense,Passed,72,Pending
C13885,62,Saudi Arabia,Malaysia,Married,2,Bachelor,Analyst,4,Job Offer,High,IELTS 8.0,Study,Long-term,Clean,Canada,Student,0,Clear,Passed,97,Paid
C66800,61,Vietnam,Canada,Single,3,Bachelor,Manager,6,Job Offer,High,TOEFL 105,Work,Short-term,Clean,Canada,Work,0,Clear,Passed,60,Paid
C54179,44,UK,Vietnam,Single,4,Bachelor,Doctor,38,None,Low,TOEFL 78,Work,Long-term,Previous Visa,UK,Work,0,Clear,Pending,75,Pending
C81014,22,Austria,Colombia,Single,2,High School,Driver,10,Family Sponsor,High,TOEFL 110,Study,Short-term,Clean,Germany,Student,1,Minor Offense,Passed,68,Paid
A00845,,Saudi Arabia,Brazil,Married,1,Bachelor,Developer,15,Job Offer,Medium,None,Study,Permanent,Previous Visa,Germany,Student,0,Clear,Passed,98,Paid
C82189,65,Japan,Nepal,Widowed,2,Bachelor,Doctor,12,None,Medium,TOEFL 102,Family,Long-term,Clean,US,Family,0,Minor Offense,Passed,71,Paid
C95719,36,Nepal,Pakistan,Single,5,Master,Designer,21,Family Sponsor,Medium,None,Study,Long-term,Clean,US,Student,1,Clear,Pending,65,Paid
C10758,25,Brazil,Netherlands,Married,2,Bachelor,Developer,19,Job Offer,High,IELTS 7.5,Family,Short-term,Clean,Australia,Family,0,Clear,Passed,67,Paid
C71080,42,India,Morocco,Single,4,Master,Student,15,University Admission,Low,IELTS 7.5,Tourism,Short-term,Clean,UK,Visitor,2,Minor Offense,Passed,91,Waived
C80916,64,Kuwait,India,Married,0,High School,Engineer,2,University Admission,Medium,IELTS 6.5,Study,Short-term,Clean,Germany,Student,0,Clear,Passed,89,Paid
C77663,24,Canada,South Korea,Married,4,Bachelor,Student,26,Job Offer,High,TOEFL 97,Work,Long-term,Clean,US,Work,1,Clear,Pending,93,Pending
C58314,42,Portugal,Austria,Single,0,High School,Doctor,5,None,Low,IELTS 7.5,Family,Short-term,Previous Visa,UK,Family,2,Minor Offense,Pending,84,Paid
C11054,34,Philippines,Guatemala,Married,3,High School,Manager,11,Job Offer,Low,IELTS 7.5,PR,Permanent,Clean,US,PR,1,Clear,Passed,73,Paid
C12230,33,UAE,Brazil,Married,3,Master,Farmer,20,Job Offer,Low,TOEFL 98,Tourism,Long-term,Clean,Germany,Visitor,0,Clear,Passed,89,Paid
C52440,53,Oman,Denmark,Single,5,High School,Manager,35,None,Low,TOEFL 92,Tourism,Long-term,Clean,Germany,Visitor,0,Clear,Passed,88,Paid
C81186,43,Malaysia,South Korea,Married,1,High School,Farmer,25,None,High,IELTS 8.0,Family,Short-term,Clean,Australia,Family,0,Clear,Passed,95,Paid
A05070,unknown,Nepal,Atlantis,Married,0,Master,Sales,NaN years,Job Offer,High,TOEFL 74,Work,Permanent,Rejected,Australia,Work,0,Clear,Passed,87,Paid
C54066,19,Saudi Arabia,Honduras,Single,0,High School,Designer,9,University Admission,Medium,IELTS 8.5,Work,Short-term,Clean,Australia,Work,1,Clear,Failed,72,Paid
C75713,43,Denmark,New Zealand,Single,4,Bachelor,Student,25,Job Offer,High,IELTS 6.0,Work,Short-term,Rejected,Australia,Work,0,Clear,Passed,89,Paid
C105989,20,China,Guatemala,Single,4,High School,Artist,37,None,Medium,TOEFL 78,Family,Short-term,Clean,Canada,Family,0,Clear,Passed,81,Paid
C49569,64,Ireland,Sweden,Single,5,Master,Technician,39,Job Offer,Medium,IELTS 7.0,Tourism,Short-term,Clean,US,Visitor,0,Clear,Pending,85,Paid
C71930,56,Portugal,Brazil,Single,3,Bachelor,Accountant,0,None,Medium,IELTS 7.5,Work,Long-term,Previous Visa,US,Work,0,Clear,Passed,80,Pending
C75391,39,Belgium,Qatar,Single,3,Bachelor,Chef,0,University Admission,Medium,None,Work,Long-term,Clean,Germany,Work,1,Clear,Passed,100,Paid
C17412,34,Thailand,Oman,Single,2,High School,Artist,22,University Admission,Medium,IELTS 7.5,Tourism,Short-term,Clean,Australia,Visitor,1,Clear,Passed,89,Paid
C38835,50,Netherlands,Honduras,Single,4,Master,Student,22,Job Offer,Medium,TOEFL 99,Tourism,Long-term,Clean,US,Visitor,0,Clear,Passed,97,Paid
C46637,45,Peru,US,Single,5,High School,Student,13,Job Offer,High,IELTS 7.0,Family,Short-term,Clean,US,Family,0,Clear,Pending,86,Paid
C47283,43,Saudi Arabia,Nepal,Single,3,Bachelor,Driver,12,Job Offer,Medium,IELTS 7.5,Tourism,Long-term,Clean,Canada,Visitor,0,Clear,Passed,88,Paid
C17069,32,Vietnam,Nigeria,Single,1,High School,Doctor,35,Job Offer,Medium,TOEFL 82,Work,Short-term,Clean,US,Work,0,Clear,Passed,82,Paid
C101570,27,Honduras,China,Married,1,High School,Accountant,15,University Admission,High,TOEFL 74,Work,Long-term,Previous Visa,Canada,Work,2,Clear,Passed,95,Paid
C102186,24,South Africa,Finland,Married,0,Bachelor,Analyst,27,Family Sponsor,Medium,IELTS 5.5,Work,Short-term,Clean,UK,Work,1,Clear,Passed,77,Paid
C32360,41,South Korea,Chile,Single,2,High School,Developer,34,Family Sponsor,High,IELTS 8.0,Work,Long-term,Clean,Germany,Work,0,Clear,Passed,81,Paid
A07591,54,Atlantis,,Divorced,0,PhD,Doctor,41 years,Job Offer,Medium,TOEFL 98,Work,Long-term,Clean,Australia,Work,0,Minor Offense,Passed,79,Paid
C106043,29,Netherlands,Nepal,Single,3,Bachelor,Engineer,34,None,Medium,TOEFL 87,Study,Short-term,Clean,Canada,Student,0,Minor Offense,Passed,84,Paid
A03779,65,Mexico,France,Married,-1,Master,Teacher,41 years,Job Offer,Low,None,Tourism,Long-term,Clean,US,Visitor,0,Clear,Pending,79,Paid
C108564,49,Netherlands,Chile,Married,3,Bachelor,Chef,20,None,Medium,IELTS 6.0,Study,Short-term,Previous Visa,Australia,Student,0,Clear,Pending,94,Paid
C29967,53,Chile,Algeria,Single,5,High School,Doctor,24,University Admission,Medium,IELTS 6.0,Study,Short-term,Previous Visa,Australia,Student,0,Pending,Passed,97,Paid
C43593,43,Poland,Greece,Married,3,PhD,Student,3,Family Sponsor,Medium,IELTS 5.0,Study,Long-term,Rejected,US,Student,0,Clear,Passed,98,Paid
C21147,34,Thailand,Pakistan,Single,0,High School,Sales,22,None,Low,None,Family,Long-term,Clean,UK,Family,0,Clear,Passed,99,Paid
C64105,32,Oman,Kenya,Single,3,High School,Artist,28,Job Offer,Medium,IELTS 8.5,Tourism,Long-term,Clean,Australia,Visitor,0,Minor Offense,Passed,83,Paid
C83981,30,Belgium,Ghana,Single,2,Master,Student,27,Job Offer,Medium,IELTS 5.5,Family,Short-term,Clean,US,Family,2,Pending,Passed,91,Paid
A05006,54,Atlantis,Narnia,Married,3,Master,Accountant,,Family Sponsor,High,TOEFL 79,Study,Short-term,Clean,UK,Student,1,Clear,Passed,84,Paid
A09314,32,New Zealand,Atlantis,Single,0,Master,Farmer,14,University Admission,Low,TOEFL 61,Family,Long-term,Rejected,Canada,,0,Clear,Passed,63,Pending
C21363,18,New Zealand,Bangladesh,Married,3,Master,Accountant,39,None,Medium,None,Work,Short-term,Clean,UK,Work,0,Clear,Passed,99,Paid
C70227,50,Sweden,Peru,Single,2,Master,Designer,35,None,Medium,IELTS 8.5,Family,Short-term,Previous Visa,Germany,Family,0,Clear,Pending,71,Paid
C14150,22,Guatemala,Nepal,Single,5,High School,Engineer,26,Job Offer,Medium,IELTS 6.5,Work,Short-term,Previous Visa,US,Work,0,Clear,Passed,71,Paid
C68933,45,Qatar,Germany,Single,5,Bachelor,Driver,32,Family Sponsor,Low,TOEFL 103,Study,Long-term,Rejected,Canada,Student,0,Clear,Passed,97,Paid
C42755,37,Philippines,Oman,Single,5,High School,Technician,6,Job Offer,Medium,TOEFL 81,Tourism,Short-term,Clean,Australia,Visitor,1,Clear,Pending,99,Paid
C01619,20,Colombia,Japan,Single,1,Master,Teacher,39,University Admission,High,TOEFL 75,Family,Short-term,Clean,Australia,Family,0,Clear,Passed,74,Paid
C34383,18,Nigeria,Germany,Married,3,Bachelor,Designer,8,Family Sponsor,Medium,TOEFL 63,Study,Short-term,Clean,Australia,Student,0,Clear,Passed,79,Paid
C27608,19,Saudi Arabia,Sweden,Married,1,Master,Nurse,20,University Admission,Low,TOEFL 102,Work,Short-term,Clean,Canada,Work,0,Clear,Failed,91,Paid
C61327,22,US,Kenya,Married,2,High School,Engineer,33,Job Offer,Low,IELTS 6.0,Work,Long-term,Clean,US,Work,2,Minor Offense,Passed,88,Paid
C61665,48,Spain,Italy,Single,0,PhD,Doctor,22,Job Offer,Medium,IELTS 6.5,Study,Short-term,Clean,US,Student,2,Clear,Passed,61,Paid
C96538,63,Portugal,US,Married,5,Bachelor,Artist,25,Family Sponsor,Low,TOEFL 78,Family,Short-term,Clean,US,Family,0,Clear,Passed,88,Paid
C105883,48,Netherlands,Brazil,Married,0,Bachelor,Engineer,37,Family Sponsor,Medium,IELTS 7.5,Work,Short-term,Previous Visa,UK,Work,0,Minor Offense,Passed,100,Waived
C09171,61,Colombia,South Korea,Married,3,Master,Accountant,21,Job Offer,High,IELTS 8.0,Study,Long-term,Clean,Canada,Student,0,Clear,Passed,84,Paid
C71529,31,Austria,Thailand,Divorced,4,Master,Doctor,18,Family Sponsor,Low,None,PR,Permanent,Clean,Canada,PR,0,Clear,Passed,63,Paid
C19879,33,China,Japan,Single,0,Master,Artist,38,Family Sponsor,Medium,IELTS 7.5,Study,Short-term,Clean,Australia,Student,0,Clear,Failed,84,Waived
C60680,35,Kenya,Peru,Widowed,5,High School,Driver,35,Job Offer,Low,TOEFL 97,Work,Short-term,Clean,Canada,Work,0,Clear,Passed,64,Paid
C03588,21,Pakistan,UK,Single,2,Master,Chef,22,Job Offer,Low,IELTS 8.5,Work,Long-term,Clean,Australia,Work,0,Clear,Passed,94,Paid
C19887,64,New Zealand,Bangladesh,Married,4,High School,Teacher,34,Job Offer,High,IELTS 5.0,Study,Long-term,Clean,Canada,Student,0,Clear,Passed,80,Paid
C86888,61,UK,Nigeria,Single,0,Master,Artist,35,None,Medium,None,Family,Long-term,Clean,Australia,Family,0,Clear,Passed,71,Paid
A04222,40,Norway,Ethiopia,Widowed,2,PhD,Technician,7,University Admission,Medium,None,Special,Short-term,Clean,UK,,1,Clear,Passed,75,Paid
C24158,62,Sri Lanka,Portugal,Single,2,Bachelor,Manager,29,Family Sponsor,Low,IELTS 8.0,Work,Long-term,Rejected,Germany,Work,0,Clear,Passed,75,Pending
C108912,51,South Korea,Greece,Married,1,Master,Designer,10,University Admission,Medium,TOEFL 108,Work,Long-term,Clean,UK,Work,0,Clear,Passed,61,Paid
C40560,28,Ethiopia,Philippines,Single,2,Bachelor,Doctor,18,University Admission,Medium,TOEFL 62,Work,Long-term,Clean,US,Work,0,Clear,Passed,63,Paid
A00985,unknown,Paraguay,Kenya,Married,five,Bachelor,Accountant,31,None,Medium,IELTS 5.5,Study,Long-term,Rejected,Australia,Student,0,Clear,Passed,94,Paid
C18123,42,Sweden,Turkey,Single,5,High School,Designer,23,Job Offer,Medium,IELTS 7.0,Tourism,Short-term,Previous Visa,UK,Visitor,0,Clear,Failed,87,Paid
C75567,47,UK,Morocco,Single,5,Bachelor,Nurse,7,Job Offer,Medium,TOEFL 74,Work,Long-term,Clean,Australia,Work,0,Clear,Passed,89,Paid
C44833,32,Nigeria,Finland,Married,5,High School,Teacher,27,Family Sponsor,High,IELTS 5.5,Study,Long-term,Previous Visa,UK,Student,0,Clear,Pending,94,Paid
C39704,52,Ireland,Germany,Married,3,Bachelor,Chef,1,Family Sponsor,Medium,IELTS 7.5,Study,Long-term,Clean,Germany,Student,0,Clear,Passed,89,Paid
A05031,35,Atlantis,South Korea,Single,1,High School,Accountant,36,Family Sponsor,Low,IELTS 5.0,Family,Permanent,Previous Visa,Germany,Family,0,Clear,Passed,100,Pending
C67598,65,Mexico,Kenya,Single,3,Bachelor,Designer,23,Family Sponsor,Low,TOEFL 102,Family,Short-term,Clean,US,Family,0,Clear,Passed,60,Paid
C32003,46,New Zealand,Indonesia,Single,2,Master,Artist,25,Job Offer,Low,TOEFL 111,Work,Long-term,Previous Visa,US,Work,2,Clear,Failed,91,Paid
A02410,56,Brazil,Atlantis,Single,3,High School,Technician,3,Job Offer,Medium,IELTS 7.0,Work,Long-term,Rejected,Australia,Unknown,0,Clear,Passed,92,Paid
A07440,120,Atlantis,Narnia,Widowed,0,Master,Engineer,0,University Admission,Low,TOEFL 102,Special,Short-term,Previous Visa,US,Special,0,Clear,Passed,90,Paid
C89226,60,Netherlands,Peru,Single,3,Bachelor,Student,27,University Admission,Medium,TOEFL 107,Work,Short-term,Previous Visa,Canada,Work,0,Clear,Passed,76,Paid
C32491,39,Algeria,UK,Single,0,High School,Developer,21,Family Sponsor,Medium,TOEFL 61,Study,Long-term,Clean,Canada,Student,1,Clear,Passed,91,Paid
C32504,19,Greece,Netherlands,Single,5,Bachelor,Nurse,0,Job Offer,Medium,TOEFL 80,Tourism,Long-term,Previous Visa,UK,Visitor,0,Clear,Passed,74,Paid
C20649,31,Oman,Austria,Single,3,Master,Nurse,18,Family Sponsor,Medium,None,PR,Permanent,Clean,Germany,PR,1,Clear,Failed,70,Paid
C98086,53,Turkey,Finland,Single,3,Bachelor,Artist,31,Family Sponsor,Low,IELTS 5.0,Work,Short-term,Rejected,UK,Work,1,Clear,Pending,89,Paid
C90248,57,Portugal,Switzerland,Single,1,High School,Technician,28,Job Offer,Medium,IELTS 7.0,Study,Long-term,Clean,US,Student,0,Clear,Passed,74,Waived
C99750,62,Sweden,Austria,Married,4,Master,Technician,36,Job Offer,Low,TOEFL 94,Work,Short-term,Clean,UK,Work,0,Clear,Pending,92,Waived
A04210,62,Nepal,Canada,Single,,Master,Student,31,Family Sponsor,Medium,None,Study,Permanent,Clean,UK,Unknown,0,Clear,Pending,71,Paid
C62643,19,Qatar,Brazil,Single,1,Master,Teacher,29,Family Sponsor,Medium,None,Tourism,Short-term,Clean,US,Visitor,1,Clear,Passed,76,Paid
C27675,20,Ghana,Sri Lanka,Married,0,Bachelor,Doctor,3,Family Sponsor,Medium,TOEFL 114,PR,Permanent,Clean,UK,PR,0,Clear,Passed,82,Pending
C58751,43,Turkey,Nigeria,Married,5,Master,Driver,9,University Admission,Medium,IELTS 8.0,Work,Long-term,Clean,Canada,Work,0,Minor Offense,Passed,82,Paid
C64710,37,Japan,Belgium,Married,1,Bachelor,Manager,22,Job Offer,Medium,TOEFL 107,Family,Long-term,Rejected,Australia,Family,0,Clear,Passed,60,Paid
C89305,49,Norway,Norway,Married,1,Bachelor,Student,2,Family Sponsor,Low,IELTS 8.5,Work,Long-term,Clean,US,Work,0,Clear,Passed,64,Paid
C64529,53,Venezuela,Bangladesh,Married,1,Bachelor,Chef,0,Family Sponsor,High,TOEFL 97,Work,Long-term,Clean,US,Work,0,Clear,Passed,69,Waived
C17338,62,India,UAE,Single,0,Bachelor,Student,21,Job Offer,Medium,IELTS 5.5,Work,Long-term,Clean,US,Work,0,Clear,Passed,99,Paid
C61017,59,Paraguay,Vietnam,Married,0,Bachelor,Developer,32,Job Offer,Medium,TOEFL 73,Work,Long-term,Previous Visa,US,Work,0,Clear,Passed,86,Paid
C42387,23,UK,Colombia,Single,4,Bachelor,Technician,40,Job Offer,Medium,IELTS 8.0,Study,Long-term,Previous Visa,Canada,Student,0,Clear,Passed,74,Paid
A00179,63,Ghana,Poland,Married,,Master,Teacher,12,None,Medium,,Tourism,Permanent,Clean,Germany,Visitor,0,Clear,Passed,100,Pending
A02377,31,Germany,Nepal,Widowed,0,Bachelor,Teacher,27,Family Sponsor,Medium,TOEFL 74,Work,Permanent,Previous Visa,Canada,,2,Clear,Failed,72,Paid
